SampID,MF,Area
200929_Smp_A_8G_T0,"Guanine, 13C, 15N2",112017640
200929_Smp_A_8G_T48,"Guanine, 13C, 15N2",111633272
200929_Smp_A_9V_T0,"Guanine, 13C, 15N2",119202008
200929_Poo_TruePooMortality_Full1,"Homarine, 2H3",4324455936
200929_Poo_TruePooMortality_Full2,"Homarine, 2H3",3937566464
200929_Poo_TruePooMortality_Full3,"Homarine, 2H3",3871404032
200929_Poo_TruePooMortality_Full4,"Homarine, 2H3",3663860480
200929_Poo_TruePooMortality_Full5,"Homarine, 2H3",3653178368
200929_Poo_TruePooMortality_Full6,"Homarine, 2H3",3848141568
200929_Poo_TruePooMortality_Half1,"Homarine, 2H3",2343614464
200929_Poo_TruePooMortality_Half2,"Homarine, 2H3",2031920768
200929_Poo_TruePooMortality_Half3,"Homarine, 2H3",2051946496
200929_Poo_TruePooMortality_Half4,"Homarine, 2H3",2023988992
200929_Poo_TruePooMortality_Half5,"Homarine, 2H3",1979498880
200929_Poo_TruePooMortality_Half6,"Homarine, 2H3",1939753344
200929_Smp_A_1C_T0,"Homarine, 2H3",4018172672
200929_Smp_A_1C_T12,"Homarine, 2H3",4070178816
200929_Smp_A_1C_T18,"Homarine, 2H3",4056601344
200929_Smp_A_1C_T24,"Homarine, 2H3",4396244992
200929_Smp_A_1C_T30,"Homarine, 2H3",3773457664
200929_Smp_A_1C_T36,"Homarine, 2H3",4148352512
200929_Smp_A_1C_T42,"Homarine, 2H3",3892237568
200929_Smp_A_1C_T48,"Homarine, 2H3",4104683264
200929_Smp_A_1C_T6,"Homarine, 2H3",3836498432
200929_Smp_A_3LV_T0,"Homarine, 2H3",3666674432
200929_Smp_A_3LV_T12,"Homarine, 2H3",4506648576
200929_Smp_A_3LV_T24,"Homarine, 2H3",4490109440
200929_Smp_A_3LV_T36,"Homarine, 2H3",4642500608
200929_Smp_A_3LV_T48,"Homarine, 2H3",3972557312
200929_Smp_A_4LGV_T0,"Homarine, 2H3",4029385984
200929_Smp_A_4LGV_T12,"Homarine, 2H3",4331232256
200929_Smp_A_4LGV_T24,"Homarine, 2H3",3611341824
200929_Smp_A_4LGV_T36,"Homarine, 2H3",4498280960
200929_Smp_A_4LGV_T48,"Homarine, 2H3",4365766656
200929_Smp_A_6HV_T0,"Homarine, 2H3",4195887616
200929_Smp_A_6HV_T12,"Homarine, 2H3",4133372416
200929_Smp_A_6HV_T24,"Homarine, 2H3",4073128192
200929_Smp_A_6HV_T36,"Homarine, 2H3",4505697792
200929_Smp_A_6HV_T48,"Homarine, 2H3",4009929216
200929_Smp_A_8G_T0,"Homarine, 2H3",4197115392
200929_Smp_A_8G_T48,"Homarine, 2H3",4307160064
200929_Smp_A_9V_T0,"Homarine, 2H3",4325846016
200929_Poo_TruePooMortality_Full1,"L-Isoleucine, 15N",12781465
200929_Poo_TruePooMortality_Full2,"L-Isoleucine, 15N",11403486
200929_Poo_TruePooMortality_Full3,"L-Isoleucine, 15N",11623249
200929_Poo_TruePooMortality_Full4,"L-Isoleucine, 15N",11309370
200929_Poo_TruePooMortality_Full5,"L-Isoleucine, 15N",12244373
200929_Poo_TruePooMortality_Full6,"L-Isoleucine, 15N",12288033
200929_Poo_TruePooMortality_Half1,"L-Isoleucine, 15N",6180419
200929_Poo_TruePooMortality_Half2,"L-Isoleucine, 15N",5617008
