Compound,SampID,Area,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL
OH-Pseudocob,A_9V_T0,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-Pseudocob,B_1C_T0,130030,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50
OH-Pseudocob,B_1C_T12,225402,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50
OH-Pseudocob,B_1C_T18,157359,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50
OH-Pseudocob,B_1C_T24,670136,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100
OH-Pseudocob,B_1C_T30,290599,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50
OH-Pseudocob,B_1C_T36,2155953,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300
OH-Pseudocob,B_1C_T42,356492,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50
OH-Pseudocob,B_1C_T48,885607,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100
OH-Pseudocob,B_1C_T6,160754,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50
OH-Pseudocob,B_3LV_T0,239097,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50
OH-Pseudocob,B_3LV_T12,417776,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50
OH-Pseudocob,B_3LV_T24,502976,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100
OH-Pseudocob,B_3LV_T36,565552,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300
OH-Pseudocob,B_3LV_T48,66331,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100
OH-Pseudocob,B_4LGV_T0,288179,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50
OH-Pseudocob,B_4LGV_T12,137617,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50
OH-Pseudocob,B_4LGV_T24,39,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100
OH-Pseudocob,B_4LGV_T36,67602,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300
OH-Pseudocob,B_4LGV_T48,35619,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300
OH-Pseudocob,B_6HV_T0,388523,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50
OH-Pseudocob,B_6HV_T12,186209,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50
OH-Pseudocob,B_6HV_T24,98834,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100
OH-Pseudocob,B_6HV_T36,17882,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270
OH-Pseudocob,B_6HV_T48,49231,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100
OH-Pseudocob,C_1C_T0,242168,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50
OH-Pseudocob,C_1C_T12,258792,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50
OH-Pseudocob,C_1C_T18,235757,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50
OH-Pseudocob,C_1C_T24,552484,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100
OH-Pseudocob,C_1C_T30,390980,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50
OH-Pseudocob,C_1C_T36,463911,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100
OH-Pseudocob,C_1C_T42,166065,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50
OH-Pseudocob,C_1C_T48,765132,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100
OH-Pseudocob,C_1C_T6,171541,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50
OH-Pseudocob,C_3LV_T0,165099,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50
OH-Pseudocob,C_3LV_T12,348308,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50
OH-Pseudocob,C_3LV_T24,381490,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100
OH-Pseudocob,C_3LV_T36,166287,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100
OH-Pseudocob,C_3LV_T48,40923,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100
OH-Pseudocob,C_4LGV_T0,127385,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50
OH-Pseudocob,C_4LGV_T12,179857,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50
OH-Pseudocob,C_4LGV_T24,34330,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100
OH-Pseudocob,C_4LGV_T36,90035,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300
OH-Pseudocob,C_4LGV_T48,47029,T48,48,C,LGV,4,3600,211000,40900,170000,55400,171000000,300
OH-Pseudocob,C_6HV_T0,100818,T0,0,C,HV,6,16100000,1470000,687000,779000,0,9130000,50
OH-Pseudocob,C_6HV_T12,160471,T12,12,C,HV,6,15600000,2120000,468000,1660000,0,38100000,50
OH-Pseudocob,C_6HV_T24,71951,T24,24,C,HV,6,8120000,4650000,773000,3880000,0,287000000,100
OH-Pseudocob,C_6HV_T36,18775,T36,36,C,HV,6,1230000,7890000,4510000,3380000,0,180000000,100
OH-Pseudocob,C_6HV_T48,30082,T48,48,C,HV,6,1000000,8500000,5600000,2900000,0,159000000,100
