SampID,Vol.filt.mL,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,MF,FinalBMIS,FinalRSD,Area,Adjusted_Area,Name,RT,mz,MS2,fraction,Predicted_Adduct_Ion,SIRIUS_molecularFormula,SIRIUS_name
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2527,Inj_vol,0.27112909947706343,120827,120827,Unknown,2.107,319.23975,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2542,Inj_vol,0.11949650516669744,5396822,5396822,Unknown,6.211,322.98849,TRUE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2543,"DL-Alanine, 2H3",0.12125548325453754,403246,360911.1992065789,Unknown,11.974,323.02863,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2550,Inj_vol,0.12393384010746494,5082563,5082563,Unknown,6.212,324.98645,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2624,"DL-Valine, 2H8",0.09718932201819155,0,0,Unknown,11.196,339.03638,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2634,"Trehalose, 13C",0.09798184313909368,293605,298150.0784870277,Trehalose,12.69,341.10855,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2635,"Sucrose, 13C",0.01295482596971915,51355328,48804507.48787611,Sucrose,11.914,341.10889,TRUE,HILIC_Neg,NA,C10H20N3O10,null
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2635,"Sucrose, 13C",0.01295482596971915,51355328,48804507.48787611,Sucrose,11.914,341.10889,TRUE,HILIC_Neg,NA,C10H20N3O10,null
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2704,Inj_vol,0.2443768590515392,0,0,Unknown,10.813,358.08142,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2736,Inj_vol,0.2379075171291412,180494,180494,Unknown,10.542,366.99765,TRUE,HILIC_Neg,NA,C19H12O3,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2776,Inj_vol,0.14739916119905558,3593186,3593186,Unknown,2.077,376.27258,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2778,Inj_vol,0.28439552728283796,2807318,2807318,Unknown,11.928,377.08578,TRUE,HILIC_Neg,NA,C8H19ClN8O5,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2798,Inj_vol,0.1940809282025476,313958,313958,Unknown,2.633,383.19342,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2805,"DL-Proline, 2H7",0.18287399981162888,626189,629485.9094744893,Unknown,14.095,386.03351,FALSE,HILIC_Neg,NA,NA,NA
