Time,Treatment,Rep,Pro.count,BacSml.count,BacLrg.count,BacTot.count,Phage.abun,Pro.C,BacSml.C,BacLrg.C,BacTot.C,TotMicrobial.C,Pro.C.Fraction
44,LV,A,19400000,NA,NA,NA,NA,563804421.7354363,NA,NA,NA,NA,NA
44,LV,B,16700000,NA,NA,NA,NA,484191225.7154241,NA,NA,NA,NA,NA
44,LV,C,15100000,NA,NA,NA,NA,445102151.43712467,NA,NA,NA,NA,NA
44,HV,A,1110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,HV,B,1380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,HV,C,1030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,C,A,40800000,NA,NA,NA,NA,1026944017.1386408,NA,NA,NA,NA,NA
46,C,B,40200000,NA,NA,NA,NA,1028879390.9472524,NA,NA,NA,NA,NA
46,C,C,44000000,NA,NA,NA,NA,1279190895.7877312,NA,NA,NA,NA,NA
46,LV,A,17700000,NA,NA,NA,NA,479190197.84441346,NA,NA,NA,NA,NA
46,LV,B,12900000,NA,NA,NA,NA,357206770.2756105,NA,NA,NA,NA,NA
46,LV,C,13800000,NA,NA,NA,NA,375996056.1008646,NA,NA,NA,NA,NA
46,HV,A,1470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,HV,B,1310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,HV,C,1100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,C,A,37100000,1100000,1730000,2830000,0,898951483.5427389,13030461.073830536,36960765.23165002,49991226.305480555,948942709.8482196,0.947319025915193
48,C,B,44700000,1860000,2860000,4720000,0,1082564172.726282,22629414.807858832,62807816.46489055,85437231.27274938,1168001403.9990315,0.9268517734822688
48,C,C,44800000,1400000,1690000,3090000,0,1237738511.63666,15763588.291413208,37318511.81925875,53082100.11067196,1290820611.747332,0.958877244732855
48,LV,A,13200000,526000,4930000,5460000,278000000,329851053.2199792,7661731.596160421,113378747.92571284,121040479.52187328,450891532.7418525,0.7315529994856386
48,LV,B,11300000,1650000,9000000,10600000,290000000,255887700.66343033,21750166.185353436,200870494.7530677,222620660.93842113,478508361.60185146,0.534761189557529
48,LV,C,12200000,2100000,6320000,8420000,260000000,290704203.3638355,29862310.205611255,132328758.79353397,162191068.9991452,452895272.3629807,0.6418795273509625
48,HV,A,1860000,4840000,3810000,8660000,207000000,NA,NA,NA,NA,NA,NA
48,HV,B,868000,5400000,6470000,11900000,286000000,NA,NA,NA,NA,NA,NA
48,HV,C,1000000,5600000,2900000,8500000,159000000,NA,NA,NA,NA,NA,NA
