rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
103	C24H30O6	[M + H]+	C24H30O6	57.322715949566366	50.98710493734127	6.335611012225091	12	0.9494629803849823	4.686947872936892	4.686947872936892	1.5977760788335653		415.21218	580.011	266_201006_Poo_TruePooMortality_DDApos_266
104	C22H43NO	[M + H]+	C22H43NO	57.24137349775717	51.249009030433136	5.9923644673240375	37	0.8753098715943384	2.0506348918380435	2.0506348918380435	2.057962503085662		338.34244	1041.461	295_201006_Poo_TruePooMortality_DDApos_295
105	C12H26O6	[M + H3N + H]+	C12H29NO6	57.039052475413285	51.24185713059427	5.797195344819019	8	0.9647753995939388	1.8344845033831403	1.8344845033831403	1.2979096127382364		284.20713	83.132	144_201006_Poo_TruePooMortality_DDApos_144
106	C17H24N4O6	[M + H]+	C17H24N4O6	57.01420901898501	53.83274544396654	3.181463575018471	24	0.8529684399228751	2.472114095857447	2.472114095857447	1.931136073222422		381.17760	109.511	169_201006_Poo_TruePooMortality_DDApos_169
107	C6H5N5O2	[M + H]+	C6H5N5O2	56.97625137243777	55.28410251279933	1.6921488596384404	13	0.5998705855088107	3.0860249701519056	4.2261968414034214	1.295484469457706		180.05183	78.328	130_201006_Poo_TruePooMortality_DDApos_130
108	C16H34O9	[M + H3N + H]+	C16H37NO9	56.789044715145636	56.789044715145636	0.0	14	0.6038664447910551	1.7363045900214207	1.7363045900214207	1.8378683615874156		388.25482	187.626	201_201006_Poo_TruePooMortality_DDApos_201
109	C8H9N	[M + H]+	C8H9N	56.56974182302943	51.728212905700246	4.841528917329183	14	0.9648933974491631	6.6445180810025875	6.6445180810025875	2.661847084556019		120.08110	69.046	109_201006_Poo_TruePooMortality_DDApos_109
110	C9H13NO5	[M + H]+	C9H13NO5	56.471095050145415	53.648442644824556	2.822652405320862	11	0.7433178479885298	9.087836276645014	9.087836276645014	-3.9986710902392093		216.08578	278.629	224_201006_Poo_TruePooMortality_DDApos_224
111	C12H25N5O3	[M + H]+	C12H25N5O3	56.39243636594418	53.68015507423713	2.7122812917070487	33	0.9493945655931202	3.1597299728339365	3.1597299728339365	1.3661137421027962		288.20341	55.655	55_201006_Poo_TruePooMortality_DDApos_55
112	C6H6N2	[M + H]+	C6H6N2	55.80737608411157	55.80737608411157	0.0	14	0.8295444158940125	10.035957723672725	10.035957723672725	4.316684938262499		107.06084	1079.321	318_201006_Poo_TruePooMortality_DDApos_318
113	C11H9NO2	[M + H]+	C11H9NO2	54.68122752317833	51.36706617902283	3.314161344155499	10	0.9701503059649416	1.632256351121506	1.632256351121506	1.1222365754046242		188.07082	121.078	175_201006_Poo_TruePooMortality_DDApos_175
114	C12H16N2O3	[M + H]+	C12H16N2O3	53.401150763917855	50.15410433568848	3.2470464282293734	8	0.6967350951383309	2.463360105800854	2.463360105800854	1.4307515049692168		237.12371	100.337	156_201006_Poo_TruePooMortality_DDApos_156
115	C8H11N3O	[M + H]+	C8H11N3O	53.363914776088876	50.54310039642767	2.8208143796612086	15	0.9385195039474497	5.243089138504335	5.243089138504335	1.3778700241185269		166.09772	1077.375	297_201006_Poo_TruePooMortality_DDApos_297
116	C8H17NO2	[M + H]+	C8H17NO2	53.290908318650374	50.58645896689874	2.7044493517516353	12	0.6410592703264018	9.110873566464328	9.110873566464328	1.3272008547830692		160.13342	53.963	46_201006_Poo_TruePooMortality_DDApos_46
117	C6H10O2	[M + H]+	C6H10O2	52.86143895334436	50.0914392849385	2.7699996684058608	6	0.9005711870971503	11.32568948149254	11.32568948149254	3.708545604245444		115.07578	108.789	168_201006_Poo_TruePooMortality_DDApos_168
118	C9H19NO	[M + H]+	C9H19NO	52.8480247967932	49.62242449318648	3.2256003036067207	21	0.717678271709238	9.30085338115568	9.30085338115568	1.4481966194705205		158.15417	55.01	53_201006_Poo_TruePooMortality_DDApos_53
119	C13H24N4O5	[M + H]+	C13H24N4O5	52.7437477152271	49.75992021381805	2.9838275014090505	16	0.8673746061560229	1.9392793915664508	1.973089786552083	2.2112968433058247		317.18265	77.321	127_201006_Poo_TruePooMortality_DDApos_127
120	C16H35NO2	[M + H]+	C16H35NO2	52.58971095131884	46.96469917053828	5.625011780780557	12	0.7856944490965867	6.2124023268189585	6.2124023268189585	1.1949086426362914		274.27438	548.569	260_201006_Poo_TruePooMortality_DDApos_260
121	C12H16N2O5	[M + H]+	C12H16N2O5	52.54468769271243	52.54468769271243	0.0	15	0.7992284321933447	1.9943008062581702	1.9943008062581702	2.0857151071192064		269.11376	74.143	122_201006_Poo_TruePooMortality_DDApos_122
122	C33H61N9O6	[M + H]+	C33H61N9O6	52.2892476006598	46.30532575655879	5.983921844101013	12	0.9008947169237665	-1.6884143157142582	1.9580702379453416	-0.4881200726192117		680.48142	895.62	286_201006_Poo_TruePooMortality_DDApos_286
123	C6H7NO2S	[M + H]+	C6H7NO2S	52.114659344540954	49.46994821722745	2.644711127313505	8	0.8275982226481098	9.655173980345452	9.655173980345452	1.5606561020340641		158.02727	470.264	243_201006_Poo_TruePooMortality_DDApos_243
124	C15H23N5O8	[M + H]+	C15H23N5O8	52.097727723406095	48.962796304025	3.134931419381096	18	0.8482252813779327	1.8949228766568504	1.8949228766568504	1.9409518429464383		402.16272	55.655	56_201006_Poo_TruePooMortality_DDApos_56
125	C11H20N2O5	[M + H]+	C11H20N2O5	51.86102159024347	48.68747946650729	3.173542123736179	16	0.8347034611837288	3.045354591452973	3.045354591452973	1.8794983706925033		261.14499	72.398	119_201006_Poo_TruePooMortality_DDApos_119
