Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
B12,230511_Smp_A_4LGV_T36,Ado-B12,6.18,10477,295,4533,#N/A,B12
B12,230511_Smp_A_4LGV_T48,Ado-B12,6.18,28478,62,12573,#N/A,B12
B12,230511_Smp_A_6HV_T0,Ado-B12,6.15,946,31,459,#N/A,B12
B12,230511_Smp_A_6HV_T12,Ado-B12,6.23,248,23,390,#N/A,B12
B12,230511_Smp_A_6HV_T24,Ado-B12,6.15,4665,30,2645,#N/A,B12
B12,230511_Smp_A_6HV_T36,Ado-B12,6.19,14923,105,7585,#N/A,B12
B12,230511_Smp_A_6HV_T48,Ado-B12,6.19,2122,26,1632,#N/A,B12
B12,230511_Smp_A_8G_T0,Ado-B12,6.2,26,0,34,#N/A,B12
B12,230511_Smp_A_8G_T48,Ado-B12,6.18,41127,40,17331,#N/A,B12
B12,230511_Smp_A_9V_T0,Ado-B12,6.17,125,33,133,#N/A,B12
B12,230511_Smp_B_1C_T0,Ado-B12,6.24,98,36,109,#N/A,B12
B12,230511_Smp_B_1C_T12,Ado-B12,6.2,40,0,62,#N/A,B12
B12,230511_Smp_B_1C_T18,Ado-B12,6.14,235,25,263,#N/A,B12
B12,230511_Smp_B_1C_T24,Ado-B12,6.19,463,29,809,#N/A,B12
B12,230511_Smp_B_1C_T30,Ado-B12,6.18,895,19,861,#N/A,B12
B12,230511_Smp_B_1C_T36,Ado-B12,6.18,18922,100,6895,#N/A,B12
B12,230511_Smp_B_1C_T42,Ado-B12,6.21,209,11,285,#N/A,B12
B12,230511_Smp_B_1C_T48,Ado-B12,6.21,200,12,393,#N/A,B12
B12,230511_Smp_B_1C_T6,Ado-B12,6.18,129,59,161,#N/A,B12
B12,230511_Smp_B_3LV_T0,Ado-B12,6.21,193,14,238,#N/A,B12
B12,230511_Smp_B_3LV_T12,Ado-B12,6.18,87,8,223,#N/A,B12
B12,230511_Smp_B_3LV_T24,Ado-B12,6.2,214,0,266,#N/A,B12
B12,230511_Smp_B_3LV_T36,Ado-B12,6.17,25083,496,12438,#N/A,B12
B12,230511_Smp_B_3LV_T48,Ado-B12,6.17,6886,53,2889,#N/A,B12
B12,230511_Smp_B_4LGV_T0,Ado-B12,6.19,27,24,117,#N/A,B12
B12,230511_Smp_B_4LGV_T12,Ado-B12,6.23,205,0,224,#N/A,B12
B12,230511_Smp_B_4LGV_T24,Ado-B12,6.15,28,15,11,#N/A,B12
B12,230511_Smp_B_4LGV_T36,Ado-B12,6.18,2736,3,2966,#N/A,B12
B12,230511_Smp_B_4LGV_T48,Ado-B12,6.17,13487,10,7592,#N/A,B12
B12,230511_Smp_B_6HV_T0,Ado-B12,6.19,223,16,274,#N/A,B12
B12,230511_Smp_B_6HV_T12,Ado-B12,6.16,243,0,185,#N/A,B12
B12,230511_Smp_B_6HV_T24,Ado-B12,6.19,1586,0,1254,#N/A,B12
B12,230511_Smp_B_6HV_T36,Ado-B12,6.17,8743,58,3078,#N/A,B12
B12,230511_Smp_B_6HV_T48,Ado-B12,6.21,239,0,350,#N/A,B12
B12,230511_Smp_C_1C_T0,Ado-B12,6.17,161,30,208,#N/A,B12
B12,230511_Smp_C_1C_T12,Ado-B12,6.21,573,0,828,#N/A,B12
B12,230511_Smp_C_1C_T18,Ado-B12,6.16,292,23,422,#N/A,B12
B12,230511_Smp_C_1C_T24,Ado-B12,6.2,112,0,177,#N/A,B12
B12,230511_Smp_C_1C_T30,Ado-B12,6.16,1253,0,972,#N/A,B12
B12,230511_Smp_C_1C_T36,Ado-B12,6.18,2327,48,1486,#N/A,B12
B12,230511_Smp_C_1C_T42,Ado-B12,6.19,119,9,206,#N/A,B12
B12,230511_Smp_C_1C_T48,Ado-B12,6.2,1233,42,778,#N/A,B12
B12,230511_Smp_C_1C_T6,Ado-B12,6.2,1237,42,1190,#N/A,B12
B12,230511_Smp_C_3LV_T0,Ado-B12,6.19,266,25,320,#N/A,B12
B12,230511_Smp_C_3LV_T12,Ado-B12,6.26,195,34,189,#N/A,B12
B12,230511_Smp_C_3LV_T24,Ado-B12,6.18,3074,0,1755,#N/A,B12
