rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
79	C26H37NO6	[M + H]+	C26H37NO6	43.26587473933382	36.57428587301002	6.691588866323801	18	0.8229033509851891	2.4231758691540186	2.4231758691540186	0.36260038537762174		460.26953	122.913	9_200929_Poo_TruePooMortality_DDApos_9
80	C6H15NO3	[M + H]+	C6H15NO3	42.65932759981851	39.7235792442974	2.935748355521113	7	0.8918645775154694	2.9308062796010237	3.4792455717230593	-0.18503122440849376		150.11244	278.097	57_200929_Poo_TruePooMortality_DDApos_57
81	C10H15NO2S	[M + H]+	C10H15NO2S	42.584097649744756	37.77415721000558	4.809940439739169	9	0.9507313585431866	7.366463778732504	7.366463778732504	-0.40916465309934213		214.08954	854.146	191_200929_Poo_TruePooMortality_DDApos_191
82	C6H14N2O	[M + H]+	C6H14N2O	41.617777339341124	38.92243549578666	2.695341843554466	6	0.8102761819470873	5.2879268545106894	5.2879268545106894	0.8137382576233257		131.11800	8.446	3_200929_Poo_TruePooMortality_DDApos_3
83	C8H10N4O	[M + H]+	C8H10N4O	41.40948360719493	38.08987713716926	3.319606470025666	12	0.9846032828418342	3.988330844853801	3.988330844853801	-0.7359392074255355		179.09261	1290.448	202_200929_Poo_TruePooMortality_DDApos_202
84	C10H15NO2S	[M + H]+	C10H15NO2S	41.312474880722185	34.70529969978942	6.60717518093276	8	0.9518573988859097	6.831247555961285	6.831247555961285	0.6599286170161417		214.08977	125.372	12_200929_Poo_TruePooMortality_DDApos_12
85	C6H8N4	[M + H]+	C6H8N4	41.02263093464809	38.31156084968514	2.711070084962958	7	0.7422175082759842	4.781343810383634	4.781343810383634	0.025535088993867118		137.08218	1290.448	200_200929_Poo_TruePooMortality_DDApos_200
86	C14H30O8	[M + H]+	C14H30O8	40.807197033917	37.22435666269296	3.582840371224038	7	0.9687413054519504	4.999118642429716	4.999118642429716	0.4054953906597925		327.20148	151.627	20_200929_Poo_TruePooMortality_DDApos_20
87	C5H9NO4	[M + H]+	C5H9NO4	40.642756594988306	37.83775633679478	2.8050002581935214	6	0.9965745143712595	5.237453889124346	5.237453889124346	-1.3002874342405464		148.06024	652.425	152_200929_Poo_TruePooMortality_DDApos_152
88	C9H11NO2	[M + H]+	C9H11NO2	40.44772947776217	37.1664056925062	3.281323785255961	7	0.9664122485191668	3.346560514971216	3.346560514971216	-0.16634189828594348		166.08623	325.668	60_200929_Poo_TruePooMortality_DDApos_60
