GENE.NAME,KEGG,PathwayID,Pathway_info,Details
spoT,K01139,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
xth,K01142,9124,Replication and repair,03410 Base excision repair [PATH:ko03410]
xth,K01142,9124,Replication and repair,03400 DNA repair and recombination proteins [BR:ko03400]
rnb,K01147,9122,Translation,03016 Transfer RNA biogenesis [BR:ko03016]
PMM0384,K01153,9141,Transport and catabolism,02048 Prokaryotic Defense System [BR:ko02048]
PMM0384,K01155,9141,Transport and catabolism,02048 Prokaryotic Defense System [BR:ko02048]
PMM1841,K01155,9141,Transport and catabolism,02048 Prokaryotic Defense System [BR:ko02048]
ruvC,K01159,9124,Replication and repair,03440 Homologous recombination [PATH:ko03440]
ruvC,K01159,9124,Replication and repair,03400 DNA repair and recombination proteins [BR:ko03400]
invA,K01193,9101,Carbohydrate metabolism,00052 Galactose metabolism [PATH:ko00052]
invA,K01193,9101,Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500]
glgX,K01214,9101,Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500]
ahcY,K01251,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270]
ahcY,K01251,9112,Enzyme families,01009 Protein phosphatase and associated proteins [BR:ko01009]
ahcY,K01251,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
pepA,K01255,9112,Enzyme families,01002 Peptidases [BR:ko01002]
pepA,K01255,9106,Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480]
PMM0993,K01256,9112,Enzyme families,01002 Peptidases [BR:ko01002]
pepN,K01256,9112,Enzyme families,01002 Peptidases [BR:ko01002]
PMM0993,K01256,9106,Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480]
pepN,K01256,9106,Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480]
pip,K01259,9112,Enzyme families,01002 Peptidases [BR:ko01002]
pip,K01259,9105,Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330]
pepP,K01262,9112,Enzyme families,01002 Peptidases [BR:ko01002]
